Tipo 1,Tipo 2,Tipo 3,Patogeno
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,121,110,114
128,103,122,109,114
128,103,122,109,114
128,103,122,109,114
128,103,122,109,114
128,103,122,109,114
128,103,122,109,114
128,103,122,109,114
128,102,123,109,114
128,102,123,109,114
128,102,123,109,114
128,102,123,109,114
128,102,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,123,109,114
127,103,122,110,114
127,103,122,110,114
127,103,122,110,114
127,103,122,110,114
127,103,122,110,114
127,103,122,110,114
127,103,122,110,114
127,103,122,110,114
126,103,122,111,114
126,104,122,110,114
126,104,122,110,114
126,104,122,110,114
126,104,122,110,114
126,104,122,110,114
126,104,122,110,114
126,104,122,110,114
126,104,122,110,114
126,104,121,111,114
126,104,121,111,114
126,104,121,111,114
126,104,121,111,114
126,104,121,111,114
126,104,121,111,114
126,104,121,111,114
126,104,121,111,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
126,103,121,112,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
125,103,120,114,114
124,103,120,115,114
124,103,120,115,114
124,103,120,115,114
124,103,121,114,114
124,103,121,114,114
124,103,121,114,114
124,103,121,114,114
124,103,121,114,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
125,103,121,113,114
