Tipo 1,Tipo 2,Tipo 3,Patogeno
93,114,90,103
93,114,90,103
93,114,90,103
93,114,90,103
93,114,90,103
93,114,90,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
93,113,91,103
94,113,90,103
94,113,90,103
93,113,90,104
93,113,90,104
93,113,90,104
94,114,90,102
94,115,92,99
95,117,93,95
94,116,97,93
94,115,98,93
94,117,97,92
95,115,98,92
95,113,99,93
97,113,98,92
98,113,98,91
98,113,99,90
98,114,98,90
95,118,97,90
93,119,99,89
94,119,98,89
92,122,101,85
91,121,103,85
90,121,102,87
90,121,102,87
92,120,103,85
93,122,106,79
94,124,103,79
93,124,103,80
94,125,101,80
91,127,100,82
89,128,100,83
88,130,99,83
88,131,99,82
85,130,101,84
85,131,101,83
85,132,101,82
86,133,101,80
84,132,104,80
83,135,102,80
83,137,101,79
